artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,tempo_class,key_name,mode_name,tonality,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
sisqo,incomplete,True,1999,0.674,0.729,0.411,0.634,0.098,0.289,0.0,0.142,0.25,119,274,Allegretto,C#,Minor,C# Minor,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
jay-z,i just wanna love u (give it 2 me),True,2000,0.663,0.793,0.918,0.76,0.392,0.308,0.0,0.016,0.816,99,227,Moderato,E,Minor,E Minor,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mariah carey,thank god i found you (feat. joe & 98°),False,1999,0.663,0.259,0.505,0.723,0.018,0.606,0.0,0.102,0.118,129,257,Veloce (Allegro),A#,Major,A# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
baha men,who let the dogs out,False,2000,0.73,0.875,0.881,0.791,0.138,0.062,0.0,0.152,0.798,129,198,Veloce (Allegro),C,Major,C Major,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
donell jones,"u know what's up (feat. lisa ""left eye"" lopes)",True,1999,0.708,0.857,0.517,0.709,0.111,0.041,0.0,0.024,0.888,103,243,Moderato,G#,Minor,G# Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
leann rimes,can't fight the moonlight,False,2001,0.73,0.59,0.825,0.7,0.048,0.413,0.0,0.036,0.629,98,215,Moderato,F#,Minor,F# Minor,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
oasis,go let it out,False,2000,0.0,0.33,0.841,0.735,0.018,0.014,0.0,0.648,0.631,84,278,Moderato,D,Major,D Major,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
dj otzi,hey baby (radio mix),False,2010,0.652,0.635,0.967,0.856,0.041,0.126,0.0,0.392,0.851,135,219,Veloce (Allegro),A#,Major,A# Major,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
p!nk,most girls,False,2000,0.584,0.725,0.717,0.715,0.014,0.043,0.004,0.096,0.702,98,298,Moderato,D,Minor,D Minor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mariah carey,against all odds (take a look at me now) (feat. westlife),False,2011,0.0,0.404,0.486,0.737,0.015,0.598,0.0,0.098,0.358,117,199,Allegretto,C#,Major,C# Major,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
craig david,fill me in,False,2000,0.674,0.654,0.73,0.669,0.024,0.385,0.01,0.046,0.844,132,257,Veloce (Allegro),G#,Major,G# Major,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
