artist,song,explicit,year,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,key_name,mode_name,tonality,tempo_class,acoustic,blues,classical,country,dance,easy listening,electronic,folk,hip hop,jazz,latin,metal,pop,r&b,rock,traditional,world
westlife,the rose,False,2006,0.0,0.272,0.203,0.534,0.0294,0.784,0.0,0.0805,0.172,110,3.39,A,Major,A Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
keane,is it any wonder?,False,2006,0.59,0.489,0.955,0.877,0.0363,3.82e-05,0.000178,0.334,0.816,129,3.06,B,Minor,B Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
orson,no tomorrow,False,2006,0.46,0.656,0.624,0.785,0.0691,0.0065,0.0,0.278,0.735,124,2.47,D#,Minor,D# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
t-pain,i'm n luv (wit a stripper) (feat. mike jones),True,2005,0.0,0.731,0.368,0.501,0.0688,0.00544,0.0,0.193,0.512,145,4.25,G#,Major,G# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
kt tunstall,black horse and the cherry tree,False,2005,0.64,0.748,0.786,0.629,0.0641,0.328,0.0,0.34,0.917,105,2.52,E,Minor,E Minor,Moderato,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
natasha bedingfield,unwritten,False,2004,0.02,0.706,0.8,0.701,0.0399,0.00584,0.0,0.0822,0.629,100,4.19,F,Major,F Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
razorlight,america,False,2006,0.67,0.447,0.568,0.768,0.0305,0.295,3.26e-06,0.355,0.149,91,4.09,D,Major,D Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
james morrison,you give me something,False,2006,0.64,0.559,0.688,0.693,0.114,0.216,0.0,0.0855,0.578,80,3.33,G,Major,G Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
snow patrol,you're all i have,False,2006,0.35,0.467,0.921,0.789,0.045,5.48e-05,0.0566,0.176,0.501,132,4.33,D,Major,D Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
fray,how to save a life,False,2005,0.79,0.64,0.743,0.812,0.0379,0.269,0.0,0.101,0.361,122,4.22,A#,Major,A# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
sandi thom,i wish i was a punk rocker (with flowers in my hair),False,2006,0.61,0.7,0.465,0.677,0.358,0.544,0.0,0.606,0.719,108,2.31,E,Major,E Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
my chemical romance,welcome to the black parade,False,2006,0.76,0.217,0.905,0.811,0.0752,0.000289,0.00011,0.222,0.236,97,5.11,D,Major,D Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
razorlight,in the morning,False,2006,0.59,0.616,0.855,0.841,0.042,0.00379,0.000863,0.318,0.686,124,3.42,E,Minor,E Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
all-american rejects,dirty little secret,False,2005,0.65,0.469,0.955,0.803,0.0432,0.000343,1.35e-06,0.548,0.462,144,3.13,A#,Major,A# Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
james morrison,wonderful world,False,2006,0.49,0.474,0.71,0.786,0.029,0.0548,0.0,0.0974,0.591,79,3.3,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
chris brown,yo (excuse me miss),False,2005,0.69,0.536,0.612,0.725,0.272,0.119,0.0,0.209,0.57,87,3.49,E,Major,E Major,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
p!nk,who knew,False,2006,0.0,0.688,0.734,0.788,0.0274,0.00462,0.0,0.0756,0.46,140,3.28,A,Major,A Major,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
kooks,naive,False,2006,0.73,0.391,0.808,0.707,0.0892,0.0759,0.0,0.149,0.737,100,3.23,G#,Minor,G# Minor,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
leona lewis,bleeding love,False,2007,0.75,0.638,0.656,0.723,0.0357,0.188,0.0,0.146,0.225,104,4.22,F,Major,F Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
rihanna,umbrella,False,2008,0.81,0.583,0.829,0.786,0.134,0.00864,0.0,0.0426,0.575,174,4.35,C#,Major,C# Major,Vivace,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
britney spears,gimme more,False,2007,0.79,0.788,0.844,0.859,0.0334,0.25,0.000678,0.0723,0.382,113,4.11,D,Major,D Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
fergie,big girls don't cry (personal),False,2006,0.76,0.708,0.641,0.801,0.0335,0.205,0.0,0.0945,0.253,113,4.28,G,Major,G Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
mark ronson,valerie (feat. amy winehouse) - version revisited,False,2007,0.0,0.698,0.844,0.777,0.0544,0.00253,0.000426,0.124,0.896,106,3.39,C#,Major,C# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
plain white t's,hey there delilah,False,2005,0.78,0.656,0.291,0.491,0.0293,0.872,0.0,0.114,0.298,104,3.52,D,Major,D Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
justin timberlake,what goes around.../...comes around (interlude),False,2006,0.7,0.687,0.723,0.779,0.0709,0.122,0.00102,0.573,0.432,76,7.28,G,Major,G Major,Lento (Adagio),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
gwen stefani,the sweet escape,False,2006,0.71,0.756,0.77,0.841,0.0343,0.191,0.0,0.178,0.73,120,4.06,C#,Major,C# Major,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
timbaland,the way i are,False,2007,0.8,0.731,0.807,0.693,0.1,0.181,0.751,0.319,0.765,115,2.59,D#,Minor,D# Minor,Allegretto,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
nelly furtado,say it right,False,2006,0.81,0.872,0.872,0.701,0.139,0.0476,0.00112,0.0543,0.809,117,3.43,C#,Major,C# Major,Allegretto,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
ida corr,let me think about it,False,2012,0.43,0.762,0.754,0.844,0.046,0.00022,0.0665,0.146,0.715,129,2.31,C,Minor,C Minor,Veloce (Allegro),0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
alex gaudino,destination calabria - radio edit,False,2007,0.73,0.627,0.954,0.776,0.0425,0.0015,0.000814,0.292,0.312,128,3.43,D,Major,D Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
september,cry for you,False,2007,0.65,0.767,0.881,0.817,0.0301,0.00133,0.000139,0.0551,0.961,130,3.29,A,Major,A Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
akon,smack that,True,2006,0.58,0.94,0.743,0.758,0.0475,0.317,0.0,0.0909,0.932,119,3.32,F,Minor,F Minor,Allegretto,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
timbaland,give it to me,True,2007,0.7,0.975,0.711,0.821,0.0632,0.168,0.000552,0.0799,0.815,111,3.54,G#,Major,G# Major,Allegretto,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
50 cent,ayo technology,True,2007,0.67,0.63,0.782,0.745,0.132,0.0828,0.0,0.034,0.418,140,4.07,G#,Minor,G# Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
eric prydz,proper education - radio edit,False,2007,0.0,0.537,0.937,0.789,0.0523,0.00102,0.035,0.0917,0.324,125,3.18,C,Major,C Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
fedde le grand,put your hands up for detroit - radio edit,False,2015,0.0,0.827,0.931,0.793,0.202,0.0153,0.21,0.0992,0.491,128,2.3,G,Major,G Major,Veloce (Allegro),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
ciara,like a boy,False,2006,0.68,0.701,0.724,0.729,0.145,0.267,0.0,0.0867,0.425,132,3.57,C,Minor,C Minor,Veloce (Allegro),0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
kanye west,stronger,True,2007,0.54,0.617,0.717,0.625,0.153,0.00564,0.0,0.408,0.49,104,5.11,A#,Minor,A# Minor,Moderato,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
beyonce,beautiful liar,False,2007,0.64,0.764,0.751,0.829,0.0703,0.00554,0.000237,0.164,0.418,92,3.19,G#,Major,G# Major,Moderato,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
